DateTime,production_kWh,demand_kWh,spot_price_rp_per_kWh,cost_opt__grid_import_kWh,cost_opt__grid_export_kWh,cost_opt__battery_charge_kWh,cost_opt__battery_discharge_kWh,cost_opt__battery_soc_kWh,emissions_opt__grid_import_kWh,emissions_opt__grid_export_kWh,emissions_opt__battery_charge_kWh,emissions_opt__battery_discharge_kWh,emissions_opt__battery_soc_kWh,cost_opt__step_cost_rp,emissions_opt__step_cost_rp,cost_opt__step_emissions_kgco2,emissions_opt__step_emissions_kgco2
2024-08-30 07:15:00,1153.4,1283.828,11.7944816,0.0,257.0194968950467,6.597337515253154e-10,407.83947041653295,2963.0529193673715,130.4280000007555,2.9312372147122834e-11,1.3784748149731205e-09,6.864922317931816e-10,200.00000006678613,-3023.2549375615417,1538.3306461334062,0.0,45.64980000026442
2024-08-30 07:30:00,1233.3,1392.5,11.7944816,0.0,210.93403297784383,6.593506727371565e-10,389.6147715563192,2573.4381478116807,159.20000000056314,2.984548111425445e-11,1.1891575867812656e-09,6.904338533266905e-10,200.0000000672254,-2480.065275339832,1877.6814707263272,0.0,55.720000000197096
2024-08-30 07:45:00,1193.4,1488.52,11.7944816,0.0,59.646240521498214,6.591562435080124e-10,373.4381479180603,2199.9999998942467,295.1200000007634,2.955034302212301e-11,1.3069549825333554e-09,6.031416035969529e-10,200.00000006786385,-696.0277233816106,3480.7874098006937,0.0,103.2920000002672
2024-08-30 08:00:00,1193.4,1488.456,11.8151968,0.0,179.94399997357448,6.477591351072272e-10,499.9999999728653,1699.9999999219963,295.0560000007329,2.94822709684258e-11,1.288182478110503e-09,6.15321237927461e-10,200.0000000684723,-2116.073772667507,3486.1447070291497,0.0,103.26960000025652
2024-08-30 08:15:00,1193.4,1623.14,11.8151968,0.0,45.25999997339591,6.477191749193247e-10,499.99999997267753,1199.999999949941,429.74000000086914,2.8339956385383838e-11,1.3849924270861678e-09,5.728384306208393e-10,200.00000006921522,-524.755806854201,5077.4626728419735,0.0,150.4090000003042
2024-08-30 08:30:00,1193.4,1615.02,11.8151968,0.0,53.37999997379825,6.477909299453756e-10,499.999999973101,699.9999999774542,421.62000000074676,2.845971110572404e-11,1.2832522077715835e-09,5.945749878580539e-10,200.00000006983973,-620.6952048749462,4981.523274824524,0.0,147.56700000026134
2024-08-30 08:45:00,1113.4,1669.08,11.8151968,80.68000002507068,0.0,6.481610550730717e-10,499.9999999742919,200.00000000377852,555.6800000010533,4.068799318032596e-14,1.6325372057753123e-09,6.096375320421037e-10,200.000000070781,963.2500781197139,6565.468557836489,28.238000008774737,194.48800000036863
2024-08-30 09:00:00,1113.4,1592.276,10.8171008,478.87600000116686,0.0,2.176557299352602e-09,1.0627995232051839e-09,200.00000000478346,478.87600000101975,-2.1188512314316717e-14,1.5768464791673708e-09,5.86373006623327e-10,200.00000007169263,5180.049962713487,5180.049962711874,167.60660000040838,167.6066000003569
2024-08-30 09:15:00,1073.5,1537.664,10.8171008,464.16400000018723,0.0,1.481202480392516e-09,1.3620888707225637e-09,200.0000000048285,464.1640000006311,2.824139979765666e-11,1.1912152018893364e-09,6.192885495530964e-10,200.00000007220498,5020.908775733283,5020.908775737757,162.45740000006552,162.45740000022087
2024-08-30 09:30:00,1153.4,1559.644,10.8171008,406.24399999934514,0.0,1.1390509085276092e-09,1.8882415000697737e-09,200.00000000402235,406.2440000005881,2.847213168064942e-11,1.1724633996115537e-09,6.450280803572869e-10,200.0000000726738,4394.382297388177,4394.382297401289,142.1853999997708,142.18540000020582
2024-08-30 09:45:00,1113.4,1505.9,10.8171008,392.4999999975861,0.0,8.948610085179298e-10,3.4829400210661325e-09,200.00000000138954,392.50000000053984,2.863944828605597e-11,1.1464041836685718e-09,6.686333505616149e-10,200.00000007309427,4245.712063973976,4245.7120640055655,137.3749999991551,137.37500000018895
2024-08-30 10:00:00,1073.0,1451.956,9.6014952,378.95600000276767,0.0,3.697087157304376e-09,9.782258271416154e-10,200.00000000392353,378.9560000004496,2.87815797782401e-11,1.0922965070710684e-09,7.067261055173225e-10,200.0000000734252,3638.5442150378676,3638.544215015276,132.63460000096867,132.63460000015735
2024-08-30 10:15:00,1112.7,1743.028,9.6014952,630.328000000712,0.0,1.95205975405498e-09,1.30529176028123e-09,200.0000000044727,630.3280000007985,-5.1731036279327405e-14,1.3397129478033435e-09,5.696051248530875e-10,200.00000007412834,6052.091266432502,6052.091266433306,220.61480000024918,220.61480000027947
2024-08-30 10:30:00,992.8,1736.056,9.6014952,743.2559999996259,0.0,1.3785724267278778e-09,1.8450164516328384e-09,200.00000000393734,743.2560000007221,-2.909332732297977e-14,1.2785076166409975e-09,5.857404388880959e-10,200.00000007475717,7136.368916367674,7136.368916378171,260.13959999986906,260.1396000002527
2024-08-30 10:45:00,1032.8,1978.488,9.6014952,945.6879999977464,0.0,1.0319500733951232e-09,3.4586017426608195e-09,200.00000000145909,945.6880000006738,-6.377794336634994e-14,1.2380879466705699e-09,5.940168088304283e-10,200.00000007533933,9080.018792676052,9080.018792704106,330.9907999992112,330.9908000002358
2024-08-30 11:00:00,1112.8,2022.82,8.4800496,910.0200000035788,0.0,4.5901941479797585e-09,1.0645588561091713e-09,200.0000000047552,910.0200000006352,-4.5544618207055555e-15,1.207243588032295e-09,6.021796539155847e-10,200.00000007588403,7717.01473702246,7717.014736997422,318.50700000125255,318.50700000022226
2024-08-30 11:15:00,992.8,1810.896,8.4800496,818.0960000011327,0.0,2.441629835378509e-09,1.3778890131887747e-09,200.00000000569688,818.0960000006008,-2.8955894046219277e-14,1.1821444006193829e-09,6.118742182806274e-10,200.0000000763952,6937.494657571281,6937.49465756673,286.3336000003964,286.33360000021025
2024-08-30 11:30:00,872.8,1777.456,8.4800496,904.6559999999986,0.0,1.7381070068774606e-09,1.8311119754759818e-09,200.00000000551697,904.6560000005684,-3.185544942805189e-14,1.160552017209945e-09,6.232483927920389e-10,200.00000007687447,7671.527750937658,7671.527750942455,316.62959999999947,316.62960000019893
2024-08-30 11:45:00,992.8,1846.356,8.4800496,853.555999998694,0.0,1.3384211245737976e-09,2.7836652372697403e-09,200.0000000040048,853.5560000005368,-3.644188079219256e-14,1.1410566465691947e-09,6.361101513733194e-10,200.00000007732237,7238.197216366607,7238.1972163821865,298.74459999954286,298.74460000018786
2024-08-30 12:00:00,953.2,1794.152,7.9160312,840.9520000024156,0.0,3.6018912267223805e-09,1.248796438658102e-09,200.0000000061778,840.952000000505,-3.96227456939992e-14,1.1227598788828176e-09,6.502350768186369e-10,200.00000007773878,6657.002269721619,6657.002269706433,294.33320000084547,294.3332000001767
2024-08-30 12:15:00,993.4,1724.376,7.9160312,730.9760000008481,0.0,2.3482596231280483e-09,1.5792102264810305e-09,200.00000000682942,730.9760000004719,2.5590625910249713e-14,1.1037586671332641e-09,6.651265203965752e-10,200.0000000781222,5786.428822457991,5786.428822454971,255.8416000002968,255.84160000016516
2024-08-30 12:30:00,1033.4,1657.84,7.9160312,624.4399999997877,0.0,1.7805802845812522e-09,2.0975463300999007e-09,200.00000000642345,624.4400000004384,7.353362028022341e-14,1.0851077772475476e-09,6.806078851977191e-10,200.00000007847245,4943.086522526397,4943.086522531506,218.55399999992568,218.55400000015345
2024-08-30 12:45:00,993.5,1702.388,7.9160312,708.8879999982283,0.0,1.4155583745895235e-09,3.354842284746353e-09,200.00000000441338,708.8880000004064,3.0458032380959187e-14,1.0681050112110142e-09,6.965316046195977e-10,200.00000007879063,5611.5795252916705,5611.579525308852,248.1107999993799,248.1108000001422
2024-08-30 13:00:00,1033.4,1724.476,7.1787584,1191.0759999271672,0.0,499.99999992808165,9.626086977295872e-10,674.9999999351274,691.0760000003753,8.166766435840731e-14,1.0523471602606617e-09,7.127879753747006e-10,200.00000007907755,8560.446839514132,4961.067640041129,416.8765999745085,241.87660000013133
