DateTime,cost_opt__grid_import_kWh,cost_opt__grid_export_kWh,cost_opt__battery_charge_kWh,cost_opt__battery_discharge_kWh,cost_opt__battery_soc_kWh,emissions_opt__grid_import_kWh,emissions_opt__grid_export_kWh,emissions_opt__battery_charge_kWh,emissions_opt__battery_discharge_kWh,emissions_opt__battery_soc_kWh,cost_opt__step_cost_rp,emissions_opt__step_cost_rp,cost_opt__step_emissions_kgco2,emissions_opt__step_emissions_kgco2
2024-02-21 07:30:00,0.0,350.9601678965964,9.889114146164647e-10,390.425439892195,2580.404799630212,12.667751623486826,3.000321402836601e-09,3.079928526621275e-08,7.659208852960781,1790.742312584128,-2358.572009660048,85.56663957645131,0.0,4.4337130682203885
2024-02-21 07:45:00,0.0,271.8365596208703,9.88852102415047e-10,380.404799601957,2200.0000000291934,71.2277704993893,2.9961675280284605e-09,2.7962676848954137e-08,19.284452138494267,1771.4578604722283,-1825.2743725420248,480.6453421146045,0.0,24.929719674786252
2024-02-21 08:00:00,0.0,288.42399999747613,6.474229899205378e-10,499.99999999802486,1700.0000000317868,165.107703326062,2.973100059086532e-09,2.874295194782721e-08,22.59820705858324,1748.8596534409473,-2040.6011906060828,1174.3142398730317,0.0,57.78769616412169
2024-02-21 08:15:00,0.0,214.23199999747612,6.474241394187862e-10,499.99999999802486,1200.0000000343762,239.6714946971611,2.9554198787415994e-09,2.8991174824216865e-08,22.20684772082686,1726.6528057476773,-1513.1201088140826,1704.430810666518,0.0,83.88502314400638
2024-02-21 08:30:00,0.0,250.11999999747593,6.474423923282782e-10,499.99999999802475,700.0000000369662,203.79752213046936,2.9635738482388166e-09,2.8865976702571565e-08,22.192082001431896,1704.460723773681,-1768.2721611020813,1449.3781935700028,0.0,71.32913274566427
2024-02-21 08:45:00,0.0,247.52799999747577,6.475081658596478e-10,499.99999999802424,200.00000003955688,206.12051991686494,2.9635221251544507e-09,2.8850591884721543e-08,22.475242226262033,1681.9854815747979,-1749.8438809100803,1465.8996183844893,0.0,72.14218197090273
2024-02-21 09:00:00,171.63199999807478,0.0,1.4101438119680596e-09,3.510973335522395e-09,200.00000003738555,149.9287238650876,2.973328357396693e-09,2.8722025539624357e-08,22.845553859587184,1659.139927742502,1118.7238073155495,977.7154222345017,60.07119999932617,52.475053352780655
2024-02-21 09:15:00,105.2839999976798,0.0,1.3613654796290533e-09,3.875453849706053e-09,200.00000003480338,85.5622771494034,2.9854251095177368e-09,2.812403301116393e-08,20.759708296532803,1638.3802194726945,686.2573257209813,558.1232931975261,36.84939999918793,29.946797002291188
2024-02-21 09:30:00,43.52799999716848,0.0,1.3125905157435665e-09,4.362009562472284e-09,200.00000003168833,30.609229718021602,3.001367964138848e-09,2.6694238010072655e-08,13.598705591235575,1624.7815139068093,283.7222072936572,199.78764721623662,15.234799999008967,10.71323040130756
2024-02-21 09:45:00,106.56799999645548,0.0,1.262883542586888e-09,5.0604162232098515e-09,200.00000002782767,86.21820390181647,2.986463828162254e-09,2.8109838593766813e-08,21.420838030820864,1603.360675902694,694.6266354490227,562.411947377153,37.298799998759414,30.17637136563576
2024-02-21 10:00:00,12.21600000025271,0.0,2.1414582027133935e-09,1.988045659654736e-09,200.000000027874,7.642107337602574,2.981498862223873e-09,2.812299167655641e-08,4.814623887896643,1598.546052041501,76.6052411056673,48.01913751035169,4.275600000088448,2.6747375681609005
2024-02-21 10:15:00,0.0,82.46000000003816,1.9958715935389573e-09,2.141045741740899e-09,200.00000002762903,3.0792281351701674e-08,3.2781599657027982e-09,82.46000005679662,3.082364195854852e-08,1676.8830520646502,-517.0979192401566,1.6492001742905438,0.0,1.0777298473095585e-08
2024-02-21 10:30:00,195.58399999966272,0.0,1.867822184463755e-09,2.3212239237398007e-09,200.00000002708225,172.88852736184424,2.999904025278305e-09,2.9067848872268293e-08,23.88997123181429,1652.9930808604522,1226.4865320939687,1084.6434283086305,68.45439999988194,60.51098457664548
2024-02-21 10:45:00,485.70799999934087,0.0,1.7530694033202846e-09,2.5391967439260255e-09,200.00000002620845,432.3218444141099,2.8336491139646647e-14,2.9223755944893584e-08,56.19595327906736,1596.7971276091607,3045.8233829479527,2712.168379271541,169.99779999976928,151.31264554493845
2024-02-21 11:00:00,275.344000001537,0.0,3.0637750587404755e-09,1.6072334401416068e-09,200.00000002751182,253.64220971751305,3.001157626992927e-09,2.9366639704296767e-08,22.84398980511031,1573.9531378319557,1673.497052313435,1542.0539013301482,96.37040000053794,88.77477340112956
2024-02-21 11:15:00,399.7800000011494,0.0,2.7711626936839824e-09,1.707068357736886e-09,200.00000002843734,379.5478830983937,2.9507758189737786e-09,2.9479012813297305e-08,21.296965193722173,1552.6561726662453,2429.7992749870755,2307.257624645154,139.92300000040228,132.8417590844378
2024-02-21 11:30:00,443.38800000081136,0.0,2.5367538765658053e-09,1.816098382545787e-09,200.00000002903116,421.7261657547729,2.9444141497528536e-09,2.9317355994506718e-08,22.801930818409232,1529.8542418756986,2694.841765313018,2563.640619596214,155.18580000028396,147.6041580141705
2024-02-21 11:45:00,504.8960000005024,0.0,2.3425333540885544e-09,1.9371476585631434e-09,200.00000002931944,480.6440128783278,-2.877120200070471e-14,2.9553639885099205e-08,25.528407527606284,1504.3258343761613,3068.677609539139,2921.788456027572,176.71360000017583,168.22540450741474
